NAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID
Rosa Parks Elementary School,1501 O'Farrell Street,San Francisco,CA,94115-3762,1656834
Alamo Elementary School,250 23rd Avenue,San Francisco,CA,94121-2009,218059
Presidio Middle School,450 30th Avenue,San Francisco,CA,94121-1766,
Raoul Wallenberg Traditional High School,40 Vega Street,San Francisco,CA,94115-3826,1657145
John Swett Elementary School,727 Golden Gate Avenue,San Francisco,CA,94102-3101,1657121
Bessie Carmichael Elementary School,375 7th Street,San Francisco,CA,94103-4020,219093
Harvey Milk Civil Rights Elementary School,4235 19th Street,San Francisco,CA,94114-2415,222561
El Dorado Elementary School,70 Delta Street,San Francisco,CA,94134-2145,223037
Hillcrest Elementary School,810 Silver Avenue,San Francisco,CA,94134-1012,225326
Lick - Wilmerding High School,755 Ocean Avenue,San Francisco,CA,94112,1657048
San Francisco Adventist School,66 Geneva Avenue,San Francisco,CA,94112,1657154
Mercy High School,3250 19th Avenue,San Francisco,CA,94132,228518
Saint Stephen School,401 Eucalyptus Drive,San Francisco,CA,94132,2506875
Saint John Elementary School,925 Chenery Street,San Francisco,CA,94131,1657195
West Portal Lutheran School,200 Sloat Boulevard,San Francisco,CA,94132,1657170
Saint Gabriel Elementary School,2550 41st Avenue,San Francisco,CA,94116,1656859
Saint Cecilia School,660 Vicente Street,San Francisco,CA,94116,1656849
Saint Brendan School,940 Laguna Honda Boulevard,San Francisco,CA,94127,1657061
Our Lady of the Visitacion School,785 Sunnydale Avenue,San Francisco,CA,94134,1657051
Saint Thomas More Elementary School,50 Thomas More Way,San Francisco,CA,94132,232257
School of the Epiphany,600 Italy Avenue,San Francisco,CA,94112,223230
Lisa Kampner Hebrew Academy,645 14th Avenue,San Francisco,CA,94118,2506881
Saint John of San Francisco Orthodox Academy,6210 Geary Boulevard,San Francisco,CA,94121,2506889
San Francisco Friends School,250 Valencia Street,San Francisco,CA,94103,2506918
Jewish Community High School of the Bay,1835 Ellis Street,San Francisco,CA,94115,2506915
Sand Paths Academy,1218 South Van Ness Avenue,San Francisco,CA,94110,2506902
San Francisco Pacific Academy,3301 Balboa Street,San Francisco,CA,94121,
De Marillac Academy,175 Golden Gate Avenue,San Francisco,CA,94102,2506914
Olympia Institute,950 Clement Street,San Francisco,CA,94118,
Eureka Learning Center,464 Diamond Street,San Francisco,CA,94114,
Joshua Marie Cameron Academy,3801 3rd Street Suite 620,San Francisco,CA,94124,
San Francisco Day School,350 Masonic Avenue,San Francisco,CA,94118,1657077
Meadows - Livingstone School,1499 Potrero Avenue #1,San Francisco,CA,94110,2506860
Lycee Francais la Perouse - San Francisco Campus,1201 Ortega Street,San Francisco,CA,94122,
The Adda Clevenger School,180 Fair Oaks Street,San Francisco,CA,94110,2506863
Cathedral School for Boys,1275 Sacramento Street,San Francisco,CA,94108,1655344
Hamlin School,2120 Broadway Street,San Francisco,CA,94115,1655549
Saint Vincent De Paul School,2350 Green Street,San Francisco,CA,94123,1657075
Saint James Elementary School,321 Fair Oaks Street,San Francisco,CA,94110,1657064
Holy Name Elementary School,1560 40th Avenue,San Francisco,CA,94122,1655664
Saint Anne Elementary School,1320 14th Avenue,San Francisco,CA,94122,232132
Mission Dolores Academy,3371 16th Street,San Francisco,CA,94114,1655704
Saint Thomas the Apostle Elementary School,3801 Balboa Street,San Francisco,CA,94121,232258
Star of the Sea School,360 9th Avenue,San Francisco,CA,94228,235384
Saint Monica School,5950 Geary Boulevard,San Francisco,CA,94121,232233
The Laurel School,350 9th Avenue,San Francisco,CA,94118,2506893
Presidio Hill School,3839 Washington Street,San Francisco,CA,94118,1656829
Saints Peter and Paul School,660 Filbert Street,San Francisco,CA,94133,1657076
Rise Institute,1760 Cesar Chavez Street #r,San Francisco,CA,94124,2506891
The San Francisco School,300 Gaven Street,San Francisco,CA,94134,2506897
Saint Finn Barr Catholic School,419 Hearst Avenue,San Francisco,CA,94112,1657062
San Francisco Christian School,25 Whittier Street,San Francisco,CA,94112,1657153
Lakeside Presbyterian Center For Children,201 Eucalyptus Drive,San Francisco,CA,94132,
Sterne School,2690 Jackson Street,San Francisco,CA,94115,1656900
Katherine Michiels School,1335 Guerrero Street,San Francisco,CA,94110,2506870
Cornerstone Academy - Early Childhood and Kindergarten,1925 Lawton Street,San Francisco,CA,94122,
Childrens Day School,333 Dolores Street,San Francisco,CA,94110,2506901
Montessori House of Children,1187 Franklin Street,San Francisco,CA,94109,2506896
Woodside International School,1555 Irving Street,San Francisco,CA,94122,1657085
Convent of the Sacred Heart High School,2222 Broadway Street,San Francisco,CA,94115,2506892
Wen Jian Ying School,259 Judson Avenue,San Francisco,CA,94112,
Synergy Elementary School,1387 Valencia Street,San Francisco,CA,94110,1657081
Auditory Oral School of San Francisco,1234 Divisadero Street,San Francisco,CA,94115,
Maria Montessori School,62 Lenox Way,San Francisco,CA,94127,2506886
Katherine Delmar Burke School,7070 California Street,San Francisco,CA,94121,2506882
Zion Lutheran School,495 9th Avenue,San Francisco,CA,94118,1656935
Live Oak School,1555 Mariposa Street,San Francisco,CA,94107,1655684
Oakes Childrens Center,1550 Treat Avenue,San Francisco,CA,94110,
Saint Marys Chinese Day School,838 Kearney Street,San Francisco,CA,94108,1657066
Saint Ignatius College Preparatory School,2001 37th Avenue,San Francisco,CA,94116,1657149
Saint Brigid School,2250 Franklin Street,San Francisco,CA,94109,1656845
Archbishop Riordan High School,175 Phelan Avenue,San Francisco,CA,94112,231623
Saint Philip School,665 Elizabeth Street,San Francisco,CA,94114,1657073
Saint Peter's School,1266 Florida Street,San Francisco,CA,94110,232242
Saint Paul School,1690 Church Street,San Francisco,CA,94131,1655539
Saint Charles School,3250 18th Street,San Francisco,CA,94110,1655515
Saint Anthony - Immaculate Conception School,299 Precita Avenue,San Francisco,CA,94110,1656844
Immaculate Conception Academy,3625 24th Street,San Francisco,CA,94110,1655666
Notre Dame Des Victoires School,659 Pine Street,San Francisco,CA,94108,1655717
Kittredge School,2355 Lake Street,San Francisco,CA,94121,1655675
Bais Menachem Yeshiva Day School,862 28th Avenue,San Francisco,CA,94121,2506913
Convent of the Sacred Heart Elementary School,2222 Broadway Street,San Francisco,CA,94115,2506885
Drew School,2901 California Street,San Francisco,CA,94115,
KZV Armenian School,825 Brotherhood Way,San Francisco,CA,94132,
San Francisco Waldorf School,2938 Washington Street,San Francisco,CA,94115,1656887
Cornerstone Academy,801 Silver Avenue,San Francisco,CA,94134,2506879
Erikson School,1325 Evans Avenue,San Francisco,CA,94124,2506862
Big City Montessori School,240 Industrial Street,San Francisco,CA,94124,
Hillwood Academic Day School,2521 Scott Street,San Francisco,CA,94115,1655662
The Urban School of San Francisco,1563 Page Street,San Francisco,CA,94117,1657083
Mother Goose School,334 28th Avenue,San Francisco,CA,94121,
Hergl School,1570 Greenwich Street,San Francisco,CA,94123,
Town School For Boys,2750 Jackson Street,San Francisco,CA,94115,236482
Brandeis - Hillel Day School,655 Brotherhood Way,San Francisco,CA,94132,2506890
Chinese Immersion School at Deavila,1250 Waller Street,San Francisco,CA,94117,
Paul Revere School Annex,610 Tompkins Avenue,San Francisco,CA,94110,
